sample_index,true_label,raw_pred,raw_confidence,adjusted_pred,adjusted_confidence,raw_prob_NORM,raw_prob_MI,raw_prob_STTC,raw_prob_CD,raw_prob_HYP
0,NORM,NORM,0.647668,NORM,0.680257,0.647668,0.005973,0.008529,0.324892,0.012938
1,NORM,CD,0.514595,CD,0.483139,0.382836,0.022467,0.050144,0.514595,0.029958
2,NORM,CD,0.694508,CD,0.666217,0.234575,0.022323,0.005784,0.694508,0.042811
3,NORM,NORM,0.873612,NORM,0.886281,0.873612,0.005273,0.001727,0.082811,0.036577
4,NORM,NORM,0.648260,NORM,0.681114,0.648260,0.022339,0.013532,0.307475,0.008394
5,MI,NORM,0.557154,NORM,0.593659,0.557154,0.295821,0.003343,0.141537,0.002144
6,CD,CD,0.498177,NORM,0.523146,0.486292,0.002372,0.000923,0.498177,0.012236
7,NORM,NORM,0.679615,NORM,0.709411,0.679615,0.004115,0.013313,0.273945,0.029012
8,NORM,NORM,0.643068,NORM,0.675976,0.643068,0.126107,0.000874,0.218520,0.011432
9,NORM,NORM,0.542456,NORM,0.577682,0.542456,0.026936,0.000508,0.399679,0.030420
10,NORM,NORM,0.854902,NORM,0.870767,0.854902,0.005760,0.007154,0.110180,0.022004
11,NORM,NORM,0.672081,NORM,0.703901,0.672081,0.026154,0.011990,0.284581,0.005195
12,NORM,NORM,0.707774,NORM,0.737502,0.707774,0.109774,0.026067,0.152005,0.004380
13,NORM,NORM,0.594985,NORM,0.609944,0.594985,0.002066,0.039223,0.011436,0.352291
14,STTC,STTC,0.559512,STTC,0.531295,0.327734,0.029027,0.559512,0.083050,0.000677
15,NORM,NORM,0.759048,NORM,0.784818,0.759048,0.093856,0.103305,0.035762,0.008029
16,NORM,NORM,0.719563,NORM,0.748456,0.719563,0.204208,0.004631,0.066518,0.005080
17,NORM,NORM,0.839624,NORM,0.857951,0.839624,0.093560,0.012356,0.043670,0.010791
18,NORM,NORM,0.800918,NORM,0.823298,0.800918,0.102182,0.010745,0.080119,0.006037
19,STTC,STTC,0.579448,STTC,0.572528,0.072483,0.326748,0.579448,0.017917,0.003403
20,NORM,NORM,0.869142,NORM,0.881393,0.869142,0.029487,0.002506,0.051066,0.047799
21,NORM,NORM,0.580229,NORM,0.616090,0.580229,0.267880,0.105894,0.043088,0.002909
22,CD,CD,0.879769,CD,0.865012,0.102424,0.007859,0.005348,0.879769,0.004600
23,STTC,STTC,0.573441,STTC,0.568547,0.047525,0.341182,0.573441,0.029135,0.008716
24,STTC,HYP,0.477009,HYP,0.496932,0.066096,0.034883,0.306858,0.115153,0.477009
25,CD,MI,0.801521,MI,0.801430,0.000325,0.801521,0.014853,0.182720,0.000581
26,MI,MI,0.433733,NORM,0.455183,0.418604,0.433733,0.002425,0.138355,0.006883
