sample_index,true_label,raw_pred,raw_confidence,adjusted_pred,adjusted_confidence,raw_prob_NORM,raw_prob_MI,raw_prob_STTC,raw_prob_CD,raw_prob_HYP
0,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
1,NORM,NORM,0.375479,NORM,0.718657,0.375479,0.167371,0.293157,0.105432,0.058561
2,NORM,NORM,0.996879,NORM,0.999369,0.996879,0.000546,0.000075,0.002394,0.000106
3,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
4,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
5,MI,MI,0.811348,MI,0.668260,0.051539,0.811348,0.040436,0.076777,0.019899
6,CD,CD,0.979894,CD,0.932055,0.012917,0.005395,0.001146,0.979894,0.000648
7,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
8,NORM,NORM,0.977066,NORM,0.995219,0.977066,0.003419,0.001094,0.017981,0.000440
9,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
10,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
11,NORM,NORM,0.977066,NORM,0.995219,0.977066,0.003419,0.001094,0.017981,0.000440
12,NORM,NORM,0.996879,NORM,0.999369,0.996879,0.000546,0.000075,0.002394,0.000106
13,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
14,STTC,STTC,0.907171,STTC,0.788535,0.064274,0.017941,0.907171,0.005539,0.005076
15,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
16,NORM,NORM,0.996879,NORM,0.999369,0.996879,0.000546,0.000075,0.002394,0.000106
17,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
18,NORM,NORM,0.977066,NORM,0.995219,0.977066,0.003419,0.001094,0.017981,0.000440
19,STTC,STTC,0.898915,STTC,0.858231,0.027843,0.067660,0.898915,0.004269,0.001312
20,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
21,NORM,NORM,0.996879,NORM,0.999369,0.996879,0.000546,0.000075,0.002394,0.000106
22,CD,CD,0.557297,CD,0.420797,0.097241,0.073584,0.039557,0.557297,0.232321
23,STTC,STTC,0.739721,STTC,0.717252,0.038974,0.189955,0.739721,0.029725,0.001625
24,STTC,STTC,0.778272,STTC,0.699604,0.064201,0.129009,0.778272,0.024573,0.003944
25,CD,CD,0.931328,CD,0.897531,0.007649,0.039086,0.019566,0.931328,0.002371
26,MI,MI,0.952388,MI,0.923921,0.006420,0.952388,0.014296,0.025201,0.001695
27,CD,CD,0.961170,CD,0.929773,0.007947,0.021481,0.007282,0.961170,0.002120
28,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
29,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
30,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
31,MI,CD,0.966437,CD,0.901496,0.018216,0.013226,0.000973,0.966437,0.001148
32,CD,CD,0.959532,CD,0.921237,0.009720,0.018822,0.009455,0.959532,0.002472
33,MI,MI,0.923366,MI,0.864473,0.014071,0.923366,0.031028,0.030023,0.001513
34,NORM,NORM,0.999357,NORM,0.999870,0.999357,0.000146,0.000019,0.000449,0.000029
35,NORM,NORM,0.999422,NORM,0.999883,0.999422,0.000230,0.000025,0.000300,0.000022
36,NORM,STTC,0.884070,STTC,0.718692,0.095127,0.013074,0.884070,0.004944,0.002784
